,criterion,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,random_state,splitter,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
0,gini,,,,1,2,23,best,0.7931222707423581,0.7676348547717843,0.7944396706050841,0.7669567619836994,0.7931222707423581,0.7676348547717843,0.7961832880704569,0.7676348547717843,0.7947453559067705,0.7669567619836994,0.7931222707423581,0.7676348547717843,0.7931222707423581,0.7676348547717843,0.7931148120305009,0.7669567619836994,0.7931222707423581,0.7676348547717843,0.7931758378547873,0.7676348547717843
1,gini,,,,1,2,23,random,0.7931222707423581,0.7676348547717843,0.7944396706050841,0.767,0.7931222707423581,0.7676348547717843,0.7961832880704569,0.7679170124481327,0.7947453559067705,0.7674057190219643,0.7931222707423581,0.7676348547717843,0.7931222707423581,0.7676348547717843,0.7931148120305009,0.7671497584541063,0.7931222707423581,0.7676348547717843,0.7931758378547873,0.7677230541022712
2,gini,,,,1,5,23,best,0.790938864628821,0.7717842323651453,0.7922532521780642,0.7711559734513274,0.790938864628821,0.7717842323651453,0.7939928827579449,0.7717004645099695,0.7925566675547262,0.7708937698577152,0.790938864628821,0.7717842323651453,0.790938864628821,0.7717842323651453,0.7909313271970497,0.7710114882957588,0.790938864628821,0.7717842323651453,0.7909929970933602,0.7717290363601891
3,gini,,,,1,5,23,random,0.7925764192139738,0.7551867219917012,0.7939441247697925,0.7546181417149159,0.7925764192139738,0.7551867219917012,0.7957026033415593,0.7556740765146601,0.7942250645436071,0.7551457383616522,0.7925764192139738,0.7551867219917012,0.7925764192139738,0.7551867219917012,0.7925702387635261,0.7547644918162846,0.7925764192139738,0.7551867219917012,0.7926258628175561,0.7553133910443263
4,gini,,,,1,10,23,best,0.7898471615720524,0.7676348547717843,0.7909637346746907,0.7670611849390919,0.7898471615720524,0.7676348547717843,0.792638594328648,0.7674998736346802,0.7913548004793132,0.7665078049454345,0.7898471615720524,0.7676348547717843,0.7898471615720524,0.7676348547717843,0.7898330720599143,0.7667311946902655,0.7898471615720524,0.7676348547717843,0.7899176091327434,0.7675143667609151
5,gini,,,,1,10,23,random,0.7903930131004366,0.7634854771784232,0.7913701932539451,0.7628019323671498,0.7903930131004366,0.7634854771784232,0.7929988268431256,0.7636097580532003,0.7918213303927812,0.7630197541096837,0.7903930131004366,0.7634854771784232,0.7903930131004366,0.7634854771784232,0.790372776304419,0.7628976301845107,0.7903930131004366,0.7634854771784232,0.7904739602845071,0.763534464427916
6,gini,,,,2,2,23,best,0.7931222707423581,0.7676348547717843,0.7944396706050841,0.7669567619836994,0.7931222707423581,0.7676348547717843,0.7961832880704569,0.7676348547717843,0.7947453559067705,0.7669567619836994,0.7931222707423581,0.7676348547717843,0.7931222707423581,0.7676348547717843,0.7931148120305009,0.7669567619836994,0.7931222707423581,0.7676348547717843,0.7931758378547873,0.7676348547717843
7,gini,,,,2,2,23,random,0.7931222707423581,0.7676348547717843,0.7944396706050841,0.767,0.7931222707423581,0.7676348547717843,0.7961832880704569,0.7679170124481327,0.7947453559067705,0.7674057190219643,0.7931222707423581,0.7676348547717843,0.7931222707423581,0.7676348547717843,0.7931148120305009,0.7671497584541063,0.7931222707423581,0.7676348547717843,0.7931758378547873,0.7677230541022712
8,gini,,,,2,5,23,best,0.790938864628821,0.7717842323651453,0.7922532521780642,0.7711559734513274,0.790938864628821,0.7717842323651453,0.7939928827579449,0.7717004645099695,0.7925566675547262,0.7708937698577152,0.790938864628821,0.7717842323651453,0.790938864628821,0.7717842323651453,0.7909313271970497,0.7710114882957588,0.790938864628821,0.7717842323651453,0.7909929970933602,0.7717290363601891
9,gini,,,,2,5,23,random,0.7925764192139738,0.7551867219917012,0.7939441247697925,0.7546181417149159,0.7925764192139738,0.7551867219917012,0.7957026033415593,0.7556740765146601,0.7942250645436071,0.7551457383616522,0.7925764192139738,0.7551867219917012,0.7925764192139738,0.7551867219917012,0.7925702387635261,0.7547644918162846,0.7925764192139738,0.7551867219917012,0.7926258628175561,0.7553133910443263
