,embedding_dim,epochs,lr,model,num_negs_per_pos,hits@1,hits@3,hits@10,mean_reciprocal_rank
85,176,500,0.1,transe,60,0.0,0.0016556291390728477,0.0033112582781456954,0.0035355822183191776
86,112,200,0.05,complex,90,0.0,0.0,0.018211920529801324,0.009931975975632668
87,80,300,0.05,complex,20,0.0,0.0,0.0016556291390728477,0.0027044578455388546
88,432,200,0.05,transe,80,0.0016556291390728477,0.004966887417218543,0.006622516556291391,0.0054983277805149555
89,96,100,0.005,transe,30,0.0,0.0,0.0016556291390728477,0.0025756293907761574
90,496,100,0.01,distmult,1,0.0,0.0,0.0016556291390728477,0.0015332683688029647
91,336,500,0.1,distmult,30,0.0,0.0,0.0,0.001702828914858401
92,176,100,0.02,complex,10,0.0,0.0,0.0,0.0008129430934786798
93,224,500,0.05,transe,70,0.0,0.0016556291390728477,0.006622516556291391,0.004177473485469818
94,384,200,0.001,distmult,90,0.0,0.0,0.0,0.0010958020575344563
95,112,100,0.005,rgcn,70,0.0016556291390728477,0.004966887417218543,0.013245033112582781,0.006383443716913462
96,512,400,0.02,rgcn,40,0.0016556291390728477,0.0016556291390728477,0.0016556291390728477,0.0037549375556409355
97,416,200,0.001,transe,10,0.0,0.0,0.0016556291390728477,0.0022718231193721294
98,80,200,0.005,distmult,90,0.0,0.0,0.0,0.0015170248225331306
99,272,200,0.01,complex,1,0.0,0.0016556291390728477,0.0016556291390728477,0.0015345972497016191
