,embedding_dim,epochs,lr,model,num_negs_per_pos,hits@1,hits@3,hits@10,mean_reciprocal_rank
94,384,200,0.001,distmult,90,0.17004504504504506,0.3490990990990991,0.4752252252252252,0.27715012431144714
95,112,100,0.005,rgcn,70,0.12725225225225226,0.22184684684684686,0.38400900900900903,0.21091474592685697
96,512,400,0.02,rgcn,40,0.028153153153153154,0.07882882882882883,0.2533783783783784,0.0942607894539833
97,416,200,0.001,transe,10,0.0,0.14977477477477477,0.17567567567567569,0.08022988587617874
98,80,200,0.005,distmult,90,0.14527027027027026,0.26463963963963966,0.3885135135135135,0.2320966571569443
99,272,200,0.01,complex,1,0.0022522522522522522,0.0033783783783783786,0.009009009009009009,0.006678872741758823
100,128,100,0.02,rgcn,50,0.057432432432432436,0.12162162162162163,0.19707207207207209,0.11189784109592436
101,320,100,0.02,rgcn,100,0.03153153153153153,0.11261261261261261,0.22972972972972974,0.09860154241323471
102,32,300,0.002,distmult,20,0.16441441441441443,0.24549549549549549,0.33783783783783783,0.22913865745067594
103,48,200,0.1,distmult,10,0.09121621621621621,0.14864864864864866,0.23873873873873874,0.1466631293296814
104,432,500,0.002,complex,50,0.0011261261261261261,0.0022522522522522522,0.009009009009009009,0.00538781238719821
105,288,400,0.01,transe,80,0.0045045045045045045,0.10247747747747747,0.15878378378378377,0.07297228276729584
106,272,400,0.02,transe,70,0.07545045045045046,0.11599099099099099,0.17567567567567569,0.11147158592939377
107,16,500,0.1,transe,20,0.07882882882882883,0.12725225225225226,0.1891891891891892,0.12359444797039032
108,112,500,0.02,rgcn,60,0.02027027027027027,0.0686936936936937,0.17905405405405406,0.07063005864620209
109,160,400,0.001,rgcn,30,0.14189189189189189,0.26126126126126126,0.4313063063063063,0.23839326202869415
110,480,200,0.002,complex,20,0.0,0.0022522522522522522,0.00563063063063063,0.003911255393177271
111,16,300,0.02,transe,90,0.09572072072072071,0.1858108108108108,0.2894144144144144,0.16676419973373413
112,160,300,0.002,transe,90,0.0472972972972973,0.1463963963963964,0.18468468468468469,0.10571905225515366
113,512,300,0.02,rgcn,1,0.02364864864864865,0.060810810810810814,0.11486486486486487,0.060094207525253296
114,48,300,0.001,complex,90,0.0,0.0011261261261261261,0.00563063063063063,0.004922537133097649
115,368,500,0.02,rgcn,90,0.0518018018018018,0.14527027027027026,0.25,0.1216130331158638
116,304,500,0.02,transe,70,0.08445945945945946,0.11036036036036036,0.16328828828828829,0.11502332985401154
117,512,500,0.005,complex,50,0.0,0.0045045045045045045,0.009009009009009009,0.0050397347658872604
118,64,500,0.05,rgcn,100,0.0518018018018018,0.10247747747747747,0.14414414414414414,0.09125421196222305
119,240,400,0.02,complex,20,0.006756756756756757,0.016891891891891893,0.04391891891891892,0.023478474467992783
120,16,400,0.005,transe,10,0.08445945945945946,0.14527027027027026,0.24549549549549549,0.1386738270521164
121,272,100,0.002,complex,10,0.0,0.0022522522522522522,0.00563063063063063,0.0036378472577780485
122,336,500,0.005,complex,90,0.0011261261261261261,0.0033783783783783786,0.01126126126126126,0.006260097958147525
123,144,200,0.001,transe,80,0.0,0.12162162162162163,0.16328828828828829,0.06818722188472748
124,32,300,0.1,rgcn,40,0.04842342342342342,0.08445945945945946,0.12950450450450451,0.07878485321998596
125,64,200,0.002,rgcn,1,0.0945945945945946,0.13288288288288289,0.21171171171171171,0.1398419588804245
126,192,200,0.002,complex,80,0.0,0.0011261261261261261,0.0033783783783783786,0.0032729238737374544
127,320,500,0.002,rgcn,10,0.06531531531531531,0.16103603603603603,0.36936936936936937,0.15637744963169098
128,384,200,0.02,complex,50,0.0022522522522522522,0.0033783783783783786,0.012387387387387387,0.007762078661471606
129,144,200,0.05,transe,60,0.04279279279279279,0.11936936936936937,0.14977477477477477,0.09161438047885895
130,320,300,0.02,complex,60,0.006756756756756757,0.01126126126126126,0.028153153153153154,0.016099246218800545
131,208,300,0.1,distmult,40,0.11148648648648649,0.19481981981981983,0.31981981981981983,0.1870788335800171
132,160,100,0.1,complex,60,0.0011261261261261261,0.0045045045045045045,0.02702702702702703,0.012597373686730862
133,64,500,0.01,complex,1,0.0033783783783783786,0.007882882882882882,0.03490990990990991,0.015607743524014948
134,80,300,0.001,rgcn,70,0.1036036036036036,0.2072072072072072,0.36486486486486486,0.19496570527553558
135,384,400,0.005,complex,60,0.0011261261261261261,0.0033783783783783786,0.010135135135135136,0.005418945103883743
136,368,300,0.01,transe,50,0.015765765765765764,0.10022522522522523,0.1677927927927928,0.07605601847171783
137,448,400,0.002,distmult,60,0.07207207207207207,0.21846846846846846,0.375,0.1731131672859192
138,128,200,0.001,complex,100,0.0022522522522522522,0.0033783783783783786,0.0045045045045045045,0.005281757563352585
139,480,200,0.1,complex,50,0.01126126126126126,0.03153153153153153,0.06531531531531531,0.035934336483478546
140,384,100,0.02,complex,100,0.0,0.0022522522522522522,0.010135135135135136,0.004477675072848797
141,384,400,0.05,rgcn,40,0.016891891891891893,0.05518018018018018,0.14864864864864866,0.06312311440706253
142,176,100,0.05,distmult,80,0.10022522522522523,0.20608108108108109,0.36711711711711714,0.1873987913131714
143,176,400,0.05,transe,70,0.07207207207207207,0.11261261261261261,0.15427927927927929,0.09962166845798492
144,80,200,0.002,transe,90,0.0033783783783783786,0.10585585585585586,0.15315315315315314,0.06339340656995773
145,288,500,0.05,rgcn,70,0.010135135135135136,0.037162162162162164,0.1204954954954955,0.05122208222746849
146,128,100,0.001,complex,60,0.0022522522522522522,0.0022522522522522522,0.00563063063063063,0.004927684552967548
147,16,300,0.01,complex,10,0.0033783783783783786,0.015765765765765764,0.05067567567567568,0.021686004474759102
148,304,500,0.02,distmult,40,0.036036036036036036,0.11486486486486487,0.32207207207207206,0.11943626403808592
149,240,300,0.1,complex,20,0.015765765765765764,0.030405405405405407,0.06756756756756757,0.038238827139139175
150,448,500,0.02,transe,90,0.07094594594594594,0.09234234234234234,0.1554054054054054,0.09867587685585022
151,288,400,0.002,distmult,20,0.14977477477477477,0.32657657657657657,0.46396396396396394,0.2597397267818451
152,128,100,0.001,transe,60,0.0,0.08445945945945946,0.11486486486486487,0.049567028880119324
153,432,200,0.005,rgcn,1,0.03265765765765766,0.08333333333333333,0.16666666666666666,0.08121443539857864
154,480,200,0.005,distmult,50,0.10022522522522523,0.21509009009009009,0.36936936936936937,0.18665918707847595
155,288,300,0.05,complex,30,0.00563063063063063,0.012387387387387387,0.036036036036036036,0.02022412046790123
156,48,500,0.05,complex,50,0.024774774774774775,0.04279279279279279,0.08220720720720721,0.047900613397359855
157,480,300,0.01,rgcn,90,0.02364864864864865,0.07207207207207207,0.14864864864864866,0.07005926221609116
158,448,200,0.001,complex,10,0.0,0.0011261261261261261,0.0033783783783783786,0.003077799454331398
159,512,400,0.02,transe,1,0.010135135135135136,0.012387387387387387,0.09234234234234234,0.025477772578597072
160,176,100,0.05,rgcn,50,0.03490990990990991,0.0945945945945946,0.22747747747747749,0.0962444320321083
161,384,200,0.001,transe,80,0.007882882882882882,0.14189189189189189,0.18130630630630631,0.08253160864114761
162,208,300,0.05,transe,1,0.03153153153153153,0.03153153153153153,0.11036036036036036,0.05583297833800315
163,304,100,0.01,rgcn,70,0.05067567567567568,0.11486486486486487,0.2286036036036036,0.11287381500005722
164,288,300,0.002,rgcn,40,0.10022522522522523,0.18693693693693694,0.3310810810810811,0.1780979335308075
165,208,400,0.02,rgcn,50,0.036036036036036036,0.1036036036036036,0.21058558558558557,0.09708563983440399
166,384,400,0.01,transe,1,0.06981981981981981,0.08108108108108109,0.1373873873873874,0.09203359484672546
167,416,500,0.05,distmult,1,0.06306306306306306,0.11373873873873874,0.1891891891891892,0.10851040482521056
168,384,300,0.001,rgcn,40,0.08220720720720721,0.18355855855855857,0.37725225225225223,0.17569111287593842
169,48,100,0.1,complex,100,0.00563063063063063,0.016891891891891893,0.059684684684684686,0.02533130347728729
170,208,100,0.02,distmult,10,0.11148648648648649,0.21283783783783783,0.36373873873873874,0.19335424900054932
171,80,400,0.001,complex,10,0.0,0.0,0.00563063063063063,0.0035034504253417253
172,32,100,0.005,complex,80,0.0,0.0011261261261261261,0.009009009009009009,0.006792346015572548
173,432,500,0.005,rgcn,80,0.07882882882882883,0.14864864864864866,0.2725225225225225,0.1446581929922104
174,96,500,0.02,distmult,40,0.07995495495495496,0.18355855855855857,0.26013513513513514,0.15467600524425507
